Issue,Title,Type,Activity Type,Resolved Date,Project
RHOAIENG-21046,Python implementation of metrics for TrustyAI-Service,Epic,,2026-03-26,RHOAIENG
RHOAIENG-21050,Endpoints: /data/download and /data/upload,Task,New Features,2026-04-16,RHOAIENG
RHOAIENG-27964,Ensure all storage_interface functions are consistently async,Task,New Features,2026-04-16,RHOAIENG
RHOAIENG-27966,Ensure testing of both PVC and Maria backends for all data operations,Task,New Features,2026-04-16,RHOAIENG
RHOAIENG-27967,Ensure consistent data upload logic for both Maria and PVC,Task,New Features,2026-04-16,RHOAIENG
RHOAIENG-27968,Refactor upload endpoint and upload endpoint tests to use correct data abstractions,Task,New Features,2026-04-16,RHOAIENG
RHOAIENG-34126,Install the rh-pre-commit tool,Sub-task,,2026-01-06,RHOAIENG
RHOAIENG-43682,Kolmogorov–Smirnov test,Task,New Features,2026-01-22,RHOAIENG
RHOAIENG-43683,Create uniform testing suite for drift metrics and endpoints,Task,New Features,2026-01-22,RHOAIENG
RHOAIENG-43684,Jensen–Shannon divergence+distance,Task,New Features,2026-03-26,RHOAIENG
RHOAIENG-43687,Update project dependencies,Initiative,,2026-01-19,RHOAIENG
RHOAIENG-43688,Mean shift,Task,New Features,,RHOAIENG
RHOAIENG-43690,Graph Fourier maximal mean discrepancy,Task,New Features,,RHOAIENG
RHOAIENG-46216,Compare means,Task,New Features,2026-03-26,RHOAIENG
RHOAIENG-46252,Streaming Kolmogorov-Smirnov test,Task,New Features,,RHOAIENG
RHOAIENG-46335,[TrustyAI Service Python][metrics] Drift-detection metrics,Epic,New Features,,RHOAIENG
RHOAIENG-46337,[TrustyAI Service Python][metrics] Explainability metrics and framework,Epic,New Features,,RHOAIENG
RHOAIENG-46338,[TrustyAI Service Python][metrics] Anomaly-detection metrics,Epic,New Features,,RHOAIENG
RHOAIENG-46339,[TrustyAI Service Python][metrics] Language metrics,Epic,New Features,,RHOAIENG
RHOAIENG-51105,Support vLLM Payloads inside of the Python TrustyAI Service,Epic,New Features,,RHOAIENG
RHOAIENG-52393,TrustyAI - Payload logging broken with KServe RawDeployment mode,Bug,Tech Debt & Quality,2026-03-26,RHOAIENG
RHOAIENG-54136,[AIPCC req] Enable version detection from tag in midstream Garak,Task,Tech Debt & Quality,2026-03-18,RHOAIENG
RHOAIENG-54436,[SPIKE] Research/try using AIPCC base image to build downstream garak provider image,Task,Tech Debt & Quality,2026-03-20,RHOAIENG
RHOAIENG-55574,[TrustyAI Service Python][security] Security Remediation Program,Epic,Tech Debt & Quality,,RHOAIENG
RHOAIENG-55578,Security Phase 1A - Upgrade Container Base Image from UBI8 to UBI9,Task,Tech Debt & Quality,2026-04-08,RHOAIENG
